id,status2021EN,status2021HE,surnameHE,givenNameHE,surnameEN,givenNameEN,genderEN,genderHE,nationalityEN,nationalityHE,religionEN,religionHE,religiousityEN,religiousityHE,ethnicityEN,ethnicityHE,birthCountryEN,birthCountryHE,birthYear,majorChildhoodCityHE,majorChildhoodCityEN,citySocio,highschoolHE,educationTypeEN,educationTypeHE,armyServiceEN,armyServiceHE,mainLegalEducationEN,mainLegalEducationHE,mainLegalEducationTypeInstEN,mainLegalEducationTypeInstHE,YearFisrtDegreeGraduation,typeAdvancedLegalEducationEN,typeAdvancedLegalEducationHE,universityAdvancedLegalEducationEN,universityAdvancedLegalEducationHE,yearAdvancedLegalEducation,otherAdvancedEducationHE,placeOfInternshipEN,placeOfInternshipHE,yearOfBecomingLawyer,lastPositionBeforeJudgeshipEN,lastPositionBeforeJudgeshipEN,position1EN,position1HE,court1NameEN,court1NameHE,position1Year,position2EN,position2HE,court2NameEN,court2NameHE,position2Year,position3EN,position3HE,court3NameEN,court3NameHE,position3Year,position4EN,position4HE,court4NameEN,court4NameHE,position4Year,position5EN,position5HE,court5NameEN,court5NameHE,position5Year,position6EN,position6HE,court6NameEN,court6NameHE,position6Year,position7EN,position7HE,court7NameEN,court7NameHE,position7Year,position8EN,position8HE,court8NameEN,court8NameHE,position8Year,everInSupremeCourt,everInSupremeStartYear1,everInSupremeEndYear1,everInSupremeStartYear2,everInSupremeEndYear2,everInDistrict,everInDistrictStartYear1,everInDistrictEndYear1,everInDistrictStartYear2,everInDistrictEndYear2,everInMagistrate,everInMagistrateStartYear1,everInMagistrateEndYear1,everInMagistrateStartYear2,everInMagistrateEndYear2,everInLaborRegional,everInLaborRegionalStartYear1,everInLaborRegionalEndYear1,everInLaborRegionalStartYear2,everInLaborRegionalEndYear2,everInLaborNational,everInLaborNationalStartYear,everInLaborNationalEndYear,endOfCareerEN,endOfCareerHE,endOfCareerYear,comments,ageOfEnteringJudgeship,xpInFirstNom,ageOfRetirement,JudgeshipxpInRet
14,Inactive,אינו פעיל\ אינה פעילה,"עיגן ז""ל",לאה,Ogen,Lea,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Ashkenazi,אשכנזי\ה,Eastern Europe,מזרח אירופה,1912,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Unkown,Unkown,Law Classes (British Mandate),לימודי משפטים במנדט הבריטי,Abroad,"חו""ל",1936,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Unknown,לא ידוע,1938,Government department/agency,משרד או רשות ממשלתית,Judge,שיפוט,Magistrate - Unknown,שלום- לא ידוע,1954,Judge,שיפוט,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,1964,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,1964,1964,,,TRUE,1954,1963,,,FALSE,,,,,FALSE,,,deceased,פטירה,1964,,42,16,52,10
15,Inactive,אינו פעיל\ אינה פעילה,אדלר ,סטפן,Adler,Stephane,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Ashkenazi,אשכנזי\ה,North America,צפון אמריקה,1941,חוץ לארץ,abroad,null,null,Unknown,לא ידוע,Unkown,Unkown,North America,צפון אמריקה,Abroad,"חו""ל",1965,Unknown,לא ידוע,Unknown,לא ידוע,null,"תואר ביחסי עבודה ארה""ב",Government department/agency,משרד\רשות ממשלתית,1970,Law Firm,"משרד עו""ד",Judge,שיפוט,Labor - Unknown,עבודה- מחוז לא ידוע,1975,President,"נשיאות בימ""ש",Labor - Tel Aviv,עבודה- תל אביב,1983,Judge,שיפוט,Labor - National,עבודה- ארצי,1986,Vice President,"סגנות נשיאות בימ""ש",Labor - National,עבודה- ארצי,1990,President,"נשיאות בימ""ש",Labor - National,עבודה- ארצי,1997,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,FALSE,,,,,TRUE,1975,1985,,,TRUE,1986,2010,Retired,פרישה לגמלאות,2010,,34,5,69,35
16,Inactive,אינו פעיל\ אינה פעילה,"ורלינסקי ז""ל",מרים,Varlinski,Miriam,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Ashkenazi,אשכנזי\ה,Unknown,לא ידוע,1904,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Unkown,Unkown,Unknown,לא ידוע,Unknown,לא ידוע,1937,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Unknown,לא ידוע,1937,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Haifa,שלום- חיפה,1950,Judge,שיפוט,District - Haifa,מחוזי- חיפה,1954,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,1954,1974,,,TRUE,1950,1953,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,1974,נפטרה במועד לא ידוע,46,13,70,24
17,Active,פעיל\ה,אבו אסעד ,אוסילה,Abu Assad,Osaila,Female,נקבה,Palestinian\Arab,ערבי\פלסטיני,Muslim,מוסלמי\ת,null,null,None-Jewish,לא יהודי\ה,Israel\Palestine,ישראל\פלשתינה,1973,נצרת,Nazareth,3,תיכון בפטיסטי,Arab,ערבי (ממלכתי\עצמאי),Unkown,Unkown,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1996,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Law Firm,"משרד עו""ד",1997,Law Firm,"משרד עו""ד",Registrar,רשמות,Magistrate - Northern District,שלום- מחוז צפון,2004,Judge,שיפוט,Magistrate - Northern District,שלום- מחוז צפון,2012,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,2004,9999,,,FALSE,,,,,FALSE,,,null,null,9999,-99,31,7,FALSE,null
18,Inactive,אינו פעיל\ אינה פעילה,"שמיר ז""ל",מינה,Shamir,Mina,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Ashkenazi,אשכנזי\ה,Eastern Europe,מזרח אירופה,1914,תל אביב -יפו,Tel Aviv Jaffa,8,בית ספר למסחר,state-secular,ממלכתי,Army Service,Army Service,Law Classes (British Mandate),לימודי משפטים במנדט הבריטי,Abroad,"חו""ל",1938,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Law Firm,"משרד עו""ד",1940,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Tel Aviv District,שלום- מחוז תל אביב,1950,President,"נשיאות בימ""ש",Magistrate - Tel Aviv-Jaffa,שלום- תל אביב יפו,1953,Acting Judge,שיפוט בפועל,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,1959,Judge,שיפוט,District - Beer Sheva,מחוזי- באר שבע,1963,Judge,שיפוט,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,1968,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,1959,1979,,,TRUE,1950,1958,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,1979,נפטרה 1996,36,10,65,29
19,Inactive,אינו פעיל\ אינה פעילה,"וינוגרדוב ז""ל",אוגניה,Vinogardov,Eugenia,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Ashkenazi,אשכנזי\ה,Eastern Europe,מזרח אירופה,1910,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Unkown,Unkown,Eastern Europe,מזרח אירופה,Abroad,"חו""ל",1931,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Unknown,לא ידוע,1939,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Haifa,שלום- חיפה,1948,Judge,שיפוט,District - Haifa,מחוזי- חיפה,1953,President,"נשיאות בימ""ש",District - Haifa,מחוזי- חיפה,1979,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,1953,1980,,,TRUE,1948,1952,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,1980,נפטרה 1992: השופטת הראשונה ושופטת המחוזי הראשונה,38,9,70,32
20,Inactive,אינו פעיל\ אינה פעילה,"הרדוף ז""ל",חנה,Harduf,Hana,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Ashkenazi,אשכנזי\ה,West-North Europe,מערב וצפון אירופה,1925,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Unkown,Unkown,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1960,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Unknown,לא ידוע,1962,Law Firm,"משרד עו""ד",Judge,שיפוט,Labor - Tel Aviv,עבודה- תל אביב,1970,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,FALSE,,,,,TRUE,1970,1984,,,FALSE,,,Retired,פרישה לגמלאות,1984,נפטרה 2008,45,8,59,14
21,Inactive,אינו פעיל\ אינה פעילה,"בן-פורת  ז""ל",מרים,Ben-Porat,Miriam,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Ashkenazi,אשכנזי\ה,Eastern Europe,מזרח אירופה,1918,חוץ לארץ,abroad,null,null,Unknown,לא ידוע,Unkown,Unkown,Law Classes (British Mandate),לימודי משפטים במנדט הבריטי,Abroad,"חו""ל",1945,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Law Firm,"משרד עו""ד",1945,Public Prosecutor,פרקליטות המדינה,Judge,שיפוט,District - Jerusalem,מחוזי- ירושלים,1958,President,"נשיאות בימ""ש",District - Jerusalem,מחוזי- ירושלים,1975,Acting Judge,שיפוט בפועל,Supreme Court,עליון,1976,Judge,שיפוט,Supreme Court,עליון,1977,Vice President,"סגנות נשיאות בימ""ש",Supreme Court,עליון,1983,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,1976,1988,,,TRUE,1958,1975,,,FALSE,,,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,1988,פרשה בגיל פרישה ומונתה למבקרת המדינה,40,13,70,30
22,Active,פעיל\ה,אדם ,אור,Adam,Or,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Unknown,לא ידוע,Israel\Palestine,ישראל\פלשתינה,1963,לא ידוע,Unknown,null,"בית הספר ""עמק החולה""",state-secular,ממלכתי,Army Service,Army Service,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1992,Unknown,לא ידוע,Unknown,לא ידוע,null,שני בניהול ויישוב סכסוכים,Public Prosecutor ,פרקליטות המדינה,1993,Public Prosecutor,פרקליטות המדינה,Judge,שיפוט,Magistrate - Beer Sheva,שלום- באר שבע,2010,Vice President,"סגנות לנשיאות בימ""ש",Magistrate - Southern District,שלום- מחוז דרום,2014,SENior Judge,שיפוט בכיר,null,מחוזי- באר שבע,2020,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,2010,9999,,,FALSE,,,,,FALSE,,,null,null,9999,-99,47,17,FALSE,null
23,Inactive,אינו פעיל\ אינה פעילה,"אדר ז""ל",חיים,Adar,Chaim,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Unknown,לא ידוע,Israel\Palestine,ישראל\פלשתינה,1925,תל אביב -יפו,Tel Aviv Jaffa,8,הגמנסיה,state-secular,ממלכתי,Unkown,Unkown,Tel Aviv University,אוניברסיטת תל אביב,University,אוניברסיטה,1952,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Law Firm,"משרד עו""ד",1954,Law Firm,"משרד עו""ד",Judge,שיפוט,Distrcit - Unknown,מחוזי- מחוז לא ידוע,1982,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,1982,1995,,,FALSE,,,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,1995,נפטר 2004,57,28,70,13
